sample	unit	fq1	fq2
Zhaoyue_wild_type_flattype	SRR7752724	SRR7752724_1.fastq.gz	SRR7752724_2.fastq.gz
Zhaoyue_bud_sport_roundtype	SRR7752725	SRR7752725_1.fastq.gz	SRR7752725_2.fastq.gz
